,,Q1-2004,Q2-2004,Q3-2004,Q4-2004,Q1-2005,Q2-2005,Q3-2005,Q4-2005,Q1-2006,Q2-2006,Q3-2006,Q4-2006,Q1-2007,Q2-2007,Q3-2007,Q4-2007,Q1-2008,Q2-2008,Q3-2008,Q4-2008,Q1-2009,Q2-2009,Q3-2009,Q4-2009,Q1-2010,Q2-2010,Q3-2010,Q4-2010,Q1-2011,Q2-2011,Q3-2011,Q4-2011,Q1-2012,Q2-2012,Q3-2012,Q4-2012,Q1-2013,Q2-2013,Q3-2013,Q4-2013,Q1-2014,Q2-2014,Q3-2014,Q4-2014,Q1-2015,Q2-2015,Q3-2015,Q4-2015,Q1-2016,Q2-2016,Q3-2016,Q4-2016,Q1-2017,Q2-2017,Q3-2017,Q4-2017,Q1-2018,Q2-2018,Q3-2018,Q4-2018,Q1-2019,Q2-2019,Q3-2019,Q4-2019,Q1-2020,Q2-2020,Q3-2020,Q4-2020,Q1-2021,Q2-2021,Q3-2021,Q4-2021,Q1-2022,Q2-2022,Q3-2022,Q4-2022,Q1-2023,Q2-2023,Q3-2023,Q4-2023,Q1-2024,Q2-2024
Brazil,Interest rate,16.25,16.0,16.25,17.75,19.25,19.75,19.5,18.0,16.5,15.25,14.25,13.25,12.75,12.0,11.25,11.25,11.25,12.25,13.75,13.75,11.25,9.25,8.75,8.75,8.75,10.25,10.75,10.75,11.75,12.25,12.0,11.0,9.75,8.5,7.5,7.25,7.25,8.0,9.0,10.0,10.75,11.0,11.0,11.75,12.75,13.75,14.25,14.25,14.25,14.25,14.25,13.75,12.25,10.25,8.25,7.0,6.5,6.5,6.5,6.5,6.5,6.5,5.5,4.5,3.75,2.69,2.0,2.0,2.4,3.9,5.5,8.9,11.23,12.99,13.75,13.75,13.75,13.75,13.08,11.96,11.96,11.96
Brazil,GDP Growth,5.8,5.8,5.8,5.8,3.2,3.2,3.2,3.2,4,4,4,4,6.1,6.1,6.1,6.1,5.1,5.1,5.1,5.1,-0.1,-0.1,-0.1,-0.1,7.5,7.5,7.5,7.5,4,4,4,4,1.9,1.9,1.9,1.9,3,3,3,3,0.5,0.5,0.5,0.5,-3.5,-3.5,-3.5,-3.5,-3.3,-3.3,-3.3,-3.3,1.3,1.3,1.3,1.3,1.8,1.8,1.8,1.8,1.2,1.2,1.2,1.2,-3.3,-3.3,-3.3,-3.3,4.8,4.8,4.8,4.8,3,3,3,3,2.9,2.9,2.9,2.9,2.2,2.2
Brazil,GDP per cap,3750.129,3750.129,3750.129,3750.129,4938.537,4938.537,4938.537,4938.537,6066.958,6066.958,6066.958,6066.958,7572.61,7572.61,7572.61,7572.61,9096.943,9096.943,9096.943,9096.943,8851.059,8851.059,8851.059,8851.059,11578.7,11578.7,11578.7,11578.7,13631.421,13631.421,13631.421,13631.421,12782.844,12782.844,12782.844,12782.844,12752.255,12752.255,12752.255,12752.255,12601.257,12601.257,12601.257,12601.257,9182.996,9182.996,9182.996,9182.996,9117.558,9117.558,9117.558,9117.558,10419.575,10419.575,10419.575,10419.575,9629.603,9629.603,9629.603,9629.603,9364.237,9364.237,9364.237,9364.237,7344.529,7344.529,7344.529,7344.529,8269.709,8269.709,8269.709,8269.709,9612.062,9612.062,9612.062,9612.062,10642.437,10642.437,10642.437,10642.437,11351.871,11351.871
Brazil,FX_long,0.054142593485480006,0.04505517460302062,0.042531305717680004,0.04300322564608131,0.042523135152609075,0.042852316278996674,0.043902257393737376,0.04416305878597802,0.04423169361427506,0.04426865769993092,0.043578480011684094,0.042523913825866885,0.040337738387584074,0.04012199759083826,0.03747544408338505,0.0338981413517279,0.028658002112041878,0.02753170731028119,0.02408959477764987,0.02797584544439104,0.03890148001171397,0.038702012910418755,0.039212462925450296,0.0392528345114124,0.03964742584205092,0.0394600013654747,0.03898998176612897,0.03895326742239873,0.03876687100440988,0.038346341112367226,0.03835869581785351,0.0403204614740478,0.040737424000967956,0.04139559350358983,0.04237218706045283,0.041704523229849,0.04111392325197162,0.04111744549239201,0.04161350313796045,0.03987477351767837,0.031196803832129187,0.031331002649025275,0.029125448162150052,0.02855722023169248,0.02883554377608463,0.0319902344074825,0.03209911636696156,0.035147202192869376,0.03523389994550486,0.03699008034952695,0.037134047811316344,0.03645011336314689,0.03734759904297122,0.036838818210126204,0.03591859533905898,0.036308322651286494,0.03637702626865007,0.036088127561698616,0.036424931763963414,0.03600632565145696,0.037889903123831836,0.037795251928706364,0.03768302582890239,0.03837497628332909,0.03783226557694329,0.037750301449843565,0.040942525792712375,0.03772101809325932,0.03882473746614582,0.03766597300411359,0.03838848565891019,0.03773629214769873,0.0370331626020402,0.038448368671662285,0.03920559968308256,0.03994464284530501,0.03976065533393452,0.039779209583026956,0.03928398700928556,0.03890050129046627,0.03689203335251827,0.036727002739029346
Brazil,FX_short,0.03977108160681236,0.03727213778229551,0.026618973016092038,0.027242271627270626,0.027014777282355167,0.02981167777380658,0.02279290128954469,0.022603191865867487,0.026381831179529344,0.02218246000062537,0.023534235362517638,0.02354103669771482,0.02059093613167208,0.01669385492845594,0.011951711295890495,0.019652457658198116,0.02340199008580441,0.023185963405033188,0.022764530388889148,0.03886241010732146,0.06517369708073802,0.06354402867441986,0.07158354100149208,0.06714593468509295,0.027477850265327373,0.030312434365620602,0.025793364636140875,0.023661263487969403,0.020471028912061016,0.01544409610870923,0.016750051983115733,0.03261729857034814,0.033475757229493225,0.03732656829474011,0.03608861702749708,0.029382456486374286,0.028543360147139988,0.025130769331352013,0.022593586525513926,0.02766231154609213,0.0306876828368149,0.030478733210971377,0.029302193968533126,0.025399510457453926,0.025572133660268784,0.03757924050112876,0.035386699565186946,0.041290129519505385,0.04558037426874206,0.04762251315370864,0.049866704207977904,0.03002523865950115,0.029955997649212595,0.026836236001192563,0.028195298177089382,0.026097563541137694,0.01987541724002482,0.018284992081439556,0.026447694576995213,0.021448885419614715,0.03890814490154872,0.03949608207054225,0.03629812409835167,0.03854350701955746,0.025120902231035937,0.03927637773088719,0.051290720167293226,0.0497218755949121,0.055800660475084675,0.04748767602898661,0.037045749142195425,0.036239228667746384,0.0303822134123125,0.03404123592387907,0.03419332528034016,0.039894399703437895,0.03626623654719149,0.029219696228256143,0.026110149209925902,0.01459272770433032,0.01836282693879075,0.018661044079949906
Brazil,Exchange_rate,2.8533,2.9067,3.1293,2.8914,2.6895,2.7061,2.4148,2.2949,2.2666,2.1528,2.2493,2.1679,2.1376,2.0883,1.9323,1.9023,1.771,1.709,1.6179,1.8031,2.3079,2.3161,1.9586,1.8187,1.7817,1.7855,1.8042,1.718,1.6745,1.6574,1.5854,1.7492,1.785,1.7953,2.0482,2.0269,2.0281,1.9842,2.1734,2.2641,2.3858,2.3251,2.236,2.3379,2.6346,3.1414,3.1117,3.9032,4.0556,3.698,3.4234,3.2532,3.1901,3.1275,3.2954,3.1325,3.2115,3.279,3.771,4.1087,3.7356,3.8407,3.8557,4.1195,4.1512,4.8862,5.1884,5.4,5.3673,5.6351,5.0285,5.279,5.53,4.9764,5.0477,5.2436,5.1922,5.2086,4.8537,4.9387,4.9182,4.9798
Brazil,Exchange_rate_EUR,0.799904119,0.829705987,0.817877315,0.771960957,0.763091482,0.794589826,0.820007598,0.840788753,0.831325925,0.795617709,0.784593759,0.77525149,0.762709423,0.741796455,0.727338573,0.690097257,0.667464311,0.640181057,0.666884717,0.761399275,0.768604545,0.734309885,0.699093544,0.67719372,0.722664286,0.78697619,0.773787879,0.736745718,0.731408247,0.69478355,0.708233264,0.742209957,0.762537518,0.779816425,0.799138274,0.770532624,0.757865873,0.765691004,0.754941273,0.734692483,0.729664747,0.729257504,0.754988834,0.800869478,0.888312818,0.904120108,0.899525336,0.913848314,0.907330711,0.885569055,0.896160022,0.92806632,0.938476221,0.909275285,0.851432954,0.849244235,0.813750682,0.839484382,0.859573257,0.876489619,0.880772063,0.889747068,0.899665686,0.903208668,0.907842688,0.908271645,0.855181146,0.838870803,0.829643908,0.82966184,0.848374697,0.874533127,0.890736483,0.939237677,0.993248951,0.980306984,0.932133756,0.918537961,0.919336211,0.929333442,0.921314907,0.928977744
Brazil,Exchange_rate_JPY,0.009587728,0.009226795,0.009009009,0.009604303,0.009315324,0.009057971,0.008837826,0.008476731,0.008517888,0.008699435,0.008488964,0.008406894,0.008499788,0.008114907,0.008691873,0.00877193,0.00999001,0.009398496,0.009587728,0.011019284,0.01019368,0.010422095,0.011139579,0.010862481,0.010723861,0.011286682,0.011990408,0.012277471,0.012029352,0.012388503,0.013049719,0.012866701,0.012172855,0.01261034,0.012891582,0.011554015,0.010621349,0.010189525,0.010230179,0.009496676,0.009722897,0.009871668,0.009143275,0.008289125,0.008325701,0.008166599,0.008336807,0.008298755,0.008878629,0.009718173,0.009893154,0.008561644,0.008924587,0.008933357,0.008876265,0.008857396,0.009417083,0.009053871,0.008812902,0.009022828,0.009015507,0.009286776,0.009263548,0.009164223,0.009199632,0.009283327,0.009452689,0.009649715,0.009033424,0.009049774,0.008935752,0.008755801,0.008169935,0.007319037,0.00690894,0.007538636,0.007491759,0.006902264,0.006691649,1.006691649,2.006691649,3.006691649
Brazil,Delta_Interest_US,15.25,15.0,14.99,15.99,16.97,16.96,16.240000000000002,14.22,12.21,10.46,9.01,8.0,7.5,6.75,5.99,6.49,7.3100000000000005,9.97,11.74,12.78,11.1,9.1,8.59,8.63,8.64,10.05,10.57,10.56,11.58,12.15,11.93,10.93,9.67,8.36,7.34,7.09,7.11,7.85,8.91,9.91,10.68,10.91,10.91,11.66,12.64,13.63,14.12,14.13,13.91,13.88,13.86,13.35,11.6,9.35,7.1,5.85,5.09,4.8100000000000005,4.59,4.3100000000000005,4.1,4.08,3.1,2.67,2.2,2.64,1.91,1.91,2.31,3.83,5.4,8.82,11.15,12.66,12.07,10.67,9.1,8.67,7.75,6.630000000000001,6.630000000000001,6.630000000000001
Brazil,Delta_Interest_EU,13.25,13.0,13.25,14.75,16.25,16.75,16.5,14.75,13.0,11.5,10.25,8.75,8.0,7.0,6.25,6.25,6.25,7.25,8.5,10.75,8.75,7.5,7.0,7.0,7.0,8.5,9.0,9.0,10.0,10.25,9.75,9.25,8.0,6.75,6.0,5.75,5.75,7.0,8.0,9.25,10.0,10.6,10.7,11.45,12.45,13.45,13.95,13.95,14.0,14.0,14.0,13.5,12.0,10.0,8.0,6.75,6.25,6.25,6.25,6.25,6.25,6.25,5.25,4.25,3.5,2.44,1.75,1.75,2.15,3.65,5.25,8.65,10.98,12.74,12.25,11.0,10.0,9.75,8.83,7.210000000000001,7.210000000000001,7.210000000000001
