Quarter,Year,Country,Delta_Interest_EU,Delta_Interest_JPY,Delta_Interest_US,ECB,Exchange_rate,FFR,FX_long,FX_short,Fin_depth,Fin_dev,GDP Growth,GDP per cap,Interest rate,JPY,Pol_Risk,Ratings FC,Ratings LC,VIX,WUI,market_volume_bonds,market_volume_loans,Amount,LCY,Currency,Domestic,Corporate,Industry,Bond,Tenor,Tenor_bracket,FCY
4,2020,Malaysia,3.8046,3.7546,3.9646,0.25,4.1478,0.09,0.0163007134730377,0.0145409112699123,133.816995520751,0.734110176563263,-5.5,10400.219,4.0546,0.3,0.124463096,14.0,14.0,20.77,24511.59,2.0879,1.2578,0.0008,1,MYR,1,1,Consumer staples,0,22.0,5-10 yrs,0
2,2010,South Africa,-0.5,0.95,1.05,1.75,32.4913,0.2,0.0187142814717076,0.0074665645936088,115.747568600025,0.659081876277924,7.5,5076.339,1.25,0.3,-1.442788363,13.0,13.0,35.54,15644.23,0.0,0.0,0.0163,1,MYR,1,1,Energy,1,18.0,>10 yrs,0
3,2022,India,7.720000000000001,8.92,7.540000000000001,1.5,20.0101,1.68,0.03340926667586,0.0122465473577479,34.3332804057927,0.32231593132019,3.9,11259.75,9.22,0.3,-0.691959739,12.0,12.0,25.56,20214.25,18.0444,12.200300000000002,0.5,1,USD,1,1,Industrials,0,15.0,0-5 yrs,0
3,2011,Brazil,3.24,5.19,5.42,2.25,6.7859,0.07,0.0419210594033874,0.0232308022051955,118.970675992703,0.40332356095314,3.2,8799.477,5.49,0.3,0.02403157,14.0,14.0,31.82,19621.82,0.0,0.1518,0.0373,0,ZAR,1,1,Utilities,0,19.0,5-10 yrs,0
2,2011,Malaysia,-0.5,1.2,1.4,2.0,1.572213043,0.1,0.0407560684041395,0.0288168279187877,49.0564243726279,0.525431990623474,11.2,11221.402,1.5,0.3,-0.959997058,9.0,9.0,18.3,16742.34,0.0,0.3346,0.0047,0,MYR,1,1,Utilities,0,15.0,>10 yrs,0
1,2017,Malaysia,6.5,6.45,6.1,0.25,68.0474,0.65,0.0180534358876743,0.0087587520562151,48.794021399068,0.467568516731262,6.8,1957.97,6.75,0.3,-0.774099052,12.0,12.0,12.54,32886.18,2.5757000000000003,9.718,0.0007,1,BRL,1,1,Utilities,1,10.0,0-5 yrs,0
3,2011,Malaysia,3.75,5.7,5.93,2.25,44.8109,0.07,0.0201206093766548,0.0127641880613923,51.2892331325282,0.484724432229996,5.2,1449.604,6.0,0.3,-1.32679534,11.0,11.0,31.82,19621.82,0.0,2.1797,0.02,1,BRL,1,1,Utilities,1,10.0,>10 yrs,1
4,2015,Brazil,13.95,13.95,14.13,0.3,3.9032,0.12,0.0351472021928693,0.0412901295195053,66.829700644229,0.572683990001678,-3.5,9182.996,14.25,0.3,-0.331864446,11.0,11.0,14.67,27336.31,1.5748,16.165699999999998,0.0148,1,USD,1,1,Energy,1,12.0,>10 yrs,0
4,2009,India,5.371944286000001,6.821944286000001,7.0019442860000005,1.75,9681.0,0.12,0.0367158866459479,0.0715171131780602,27.6587104876344,0.343535304069519,4.7,2469.384,7.121944286000001,0.3,-0.751153648,9.0,9.0,21.92,13742.63,0.0,0.0,0.1123,0,MYR,1,1,Utilities,0,17.0,5-10 yrs,1
4,2019,Brazil,3.8964,3.8464,2.3164,0.25,4.1819,1.83,0.0207484317203659,0.0086282319837669,120.706946299114,0.577838599681854,4.4,11228.293,4.1464,0.3,0.146066397,14.0,14.0,14.91,27789.54,1.0984,0.1891,0.0153,1,USD,1,1,Energy,1,5.0,0-5 yrs,0
1,2014,India,7.342905499999999,7.792905499999999,8.022905499999998,0.75,12226.0,0.07,0.0245625748497693,0.0288240604739558,36.4235451552096,0.273522436618805,5.0,3532.669,8.092905499999999,0.3,-0.416824043,11.0,11.0,16.0,21355.19,0.35,0.8296,0.0056,0,USD,1,1,Utilities,1,13.0,>10 yrs,0
2,2009,India,7.5,8.95,9.1,1.75,2.3161,0.15,0.0387020129104187,0.0635440286744198,47.4942898437646,0.516129791736603,-0.1,8851.059,9.25,0.3,0.163664222,11.0,11.0,30.04,13059.04,0.0,0.6596,0.0386,1,MYR,1,1,Energy,0,6.0,>10 yrs,0
3,2019,Malaysia,5.25,5.2,3.1,0.25,3.8557,2.4,0.0376830258289023,0.0362981240983516,62.7905050746971,0.643020868301392,1.2,9364.237,5.5,0.3,-0.714393616,9.0,9.0,19.66,25417.49,7.123400000000001,18.3731,0.0014,0,MYR,0,1,Materials,1,12.0,0-5 yrs,0
3,2012,South Africa,7.5,8.7,8.84,1.5,55.9424,0.16,0.022948519711802,0.0267246683009444,51.8885076473311,0.433532446622849,5.5,1434.018,9.0,0.3,-1.289309859,11.0,11.0,17.98,23764.51,0.0,4.5154000000000005,0.0005,1,MYR,1,1,Energy,0,7.0,>10 yrs,0
4,2017,South Africa,6.0,5.95,5.1,0.25,64.4775,1.15,0.0158604266088655,0.009828719224284,48.794021399068,0.467568516731262,6.8,1957.97,6.25,0.3,-0.774099052,12.0,12.0,11.43,23726.95,3.8595,13.271599999999998,0.0185,1,BRL,1,1,Energy,0,1.0,>10 yrs,1
1,2020,Malaysia,6.73,6.680000000000001,5.430000000000001,0.25,18.8066,1.55,0.0280546139302418,0.0132700314380929,36.940246093683,0.328103870153427,-8.6,8742.217,6.98,0.3,-0.791369319,13.0,13.0,33.42,27165.67,2.9807,5.0634,0.0614,1,USD,1,1,Industrials,1,11.0,5-10 yrs,0
3,2022,Brazil,3.0463,4.2463,2.8663,1.5,4.3993,1.68,0.0119059842115851,0.0099932637261864,113.293637089939,0.727465748786926,8.7,12465.612,4.5463,0.3,0.140358165,14.0,14.0,25.56,20214.25,5.6328000000000005,1.6819,0.0072,1,BRL,1,1,Industrials,0,5.0,0-5 yrs,0
4,2019,Mexico,3.8964,3.8464,2.3164,0.25,4.1819,1.83,0.0207484317203659,0.0086282319837669,120.706946299114,0.577838599681854,4.4,11228.293,4.1464,0.3,0.146066397,14.0,14.0,14.91,27789.54,1.0984,0.1891,0.1492,1,MXN,1,1,Energy,1,15.0,5-10 yrs,0
4,2010,Malaysia,4.25,5.7,5.81,1.75,45.8729,0.19,0.0202395059047043,0.016851061638581,50.5553749785224,0.542141973972321,8.5,1350.634,6.0,0.3,-1.2779845,11.0,10.0,21.36,14742.34,0.0,0.9446,0.15,1,MYR,1,1,Utilities,0,19.0,>10 yrs,0
4,2021,Malaysia,5.37,5.32,5.54,0.25,20.0461,0.08,0.0362194753415904,0.0183829213713993,35.1504975428107,0.32231593132019,5.7,10180.182,5.62,0.3,-0.688360929,13.0,13.0,31.12,23117.64,10.3631,8.4653,0.08,1,THB,1,1,Consumer discretionary,1,2.0,0-5 yrs,1
4,2015,India,7.45,7.45,7.63,0.3,66.1667,0.12,0.020664361805684,0.0093228580299091,51.8675240772184,0.449610769748688,8.0,1590.174,7.75,0.3,-0.954773545,11.0,11.0,14.67,27336.31,0.6608,7.139099999999999,0.0865,1,USD,1,1,Utilities,0,5.0,>10 yrs,0
4,2021,Malaysia,0.25,0.2,0.42,0.25,33.1,0.08,0.014141070577843,0.0162990655902571,164.075002469495,0.723730862140656,1.5,7237.318,0.5,0.3,-0.568726182,13.0,13.0,31.12,23117.64,3.2394,3.0879,0.0054,1,TRY,1,1,Consumer staples,1,6.0,0-5 yrs,1
4,2015,Malaysia,6.95,6.95,7.13,0.3,3.010659091,0.12,0.0250272051218007,0.0224474137903695,66.4778973468372,0.52715677022934,6.1,10973.586,7.25,0.3,-1.495309711,11.0,11.0,14.67,27336.31,0.0,2.7574,0.0031,0,THB,1,1,Utilities,0,15.0,>10 yrs,0
4,2014,Malaysia,11.45,11.45,11.66,0.3,2.3379,0.09,0.0285572202316924,0.0253995104574539,66.028510394056,0.564413249492645,0.5,12601.257,11.75,0.3,-0.070290133,12.0,12.0,14.29,19159.67,0.8866999999999999,15.3195,0.0163,1,INR,1,1,Energy,1,9.404124616059676,5-10 yrs,0
2,2015,Brazil,13.45,13.45,13.63,0.3,3.1414,0.12,0.0319902344074825,0.0375792405011287,66.829700644229,0.572683990001678,-3.5,9182.996,13.75,0.3,-0.331864446,11.0,11.0,13.97,22376.54,1.0249,15.705699999999997,0.0628,0,INR,1,1,Materials,0,14.0,>10 yrs,1
1,2021,Brazil,4.0,3.95,4.16,0.25,73.1106,0.09,0.0135031582284779,0.0150059573565524,50.1421581396974,0.582220196723938,9.7,2250.179,4.25,0.3,-0.691997945,11.0,11.0,23.35,17911.83,11.442,20.017900000000004,0.0047,0,BRL,0,1,Materials,1,11.0,0-5 yrs,0
1,2010,Malaysia,4.25,5.7,5.89,1.75,45.8944,0.11,0.0193325725760706,0.0194601700855109,50.5553749785224,0.542141973972321,8.5,1350.634,6.0,0.3,-1.2779845,11.0,10.0,19.26,14421.22,0.0,0.2327999999999999,0.0342,1,MYR,1,1,Utilities,1,14.0,0-5 yrs,0
1,2008,Malaysia,6.25,10.5,7.31,5.0,1.771,3.94,0.0286580021120418,0.0234019900858044,45.7822559936968,0.555216610431671,5.1,9096.943,11.25,0.75,-0.313424706,10.0,10.0,26.28,12745.87,0.0,0.0,0.0786,1,MYR,1,1,Utilities,1,19.0,>10 yrs,0
4,2010,Brazil,4.25,5.7,5.81,1.75,45.8729,0.19,0.0202395059047043,0.016851061638581,50.5553749785224,0.542141973972321,8.5,1350.634,6.0,0.3,-1.2779845,11.0,10.0,21.36,14742.34,0.0,0.9446,0.0399,1,BRL,1,1,Utilities,0,1.0,5-10 yrs,0
3,2022,India,4.27772727272727,5.47772727272727,4.09772727272727,1.5,15.8144,1.68,0.0376150827709149,0.0263319362805003,92.1800552382856,0.492002218961716,1.9,6684.479,5.77772727272727,0.3,-0.72211808,9.0,9.0,25.56,20214.25,1.3523,10.4236,0.0888,0,MXN,0,1,Materials,1,10.0,5-10 yrs,0
4,2019,India,3.8964,3.8464,2.3164,0.25,4.1819,1.83,0.0207484317203659,0.0086282319837669,120.706946299114,0.577838599681854,4.4,11228.293,4.1464,0.3,0.146066397,14.0,14.0,14.91,27789.54,1.0984,0.1891,0.2476,1,USD,1,1,Energy,0,15.0,>10 yrs,0
1,2011,Turkey,4.25,5.7,5.83,1.75,45.375,0.17,0.0200964674059877,0.0172743309392845,51.2892331325282,0.484724432229996,5.2,1449.604,6.0,0.3,-1.32679534,11.0,11.0,21.01,16075.88,0.0,1.144,0.0106,1,USD,1,1,Utilities,0,17.0,>10 yrs,0
2,2013,Malaysia,7.25,7.95,8.1,1.0,54.4229,0.15,0.0234800593718849,0.0219984541309932,52.3857095169752,0.42749410867691,6.4,1438.057,8.25,0.3,-1.229174137,11.0,11.0,16.28,21872.17,0.0,5.9778,0.1068,0,INR,1,1,Energy,1,3.0,>10 yrs,0
